,word
1,لَونی
2,لُونی
3,لَوَنی
4,بازار بَنانا
5,اَب
6,اَبْ
7,بَنْدی جان
8,بَھلے دِن
9,بُھن
10,بَھن
11,بِھن
12,ٹیسٹ اینٹری
13,اِحِْتشام دار
14,اِحِْتشام دار
15,پَن
16,پُن
17,پِن
18,بُھنّاس
19,بِھنّاس
20,بِھن بِھن
21,بَھن بَھن
22,اَڑّانا
23,اُڑانا
24,اَڑانا
25,بَھنڈ ہونا
26,بَھنڈ ہونا
27,اَثَر دینا
28,چَہْلا ہونا
29,بَھنڈا ر پَن
30,چَہْلا کَرْنا
31,نَر کَٹَیّا پُوت بَھگْتَیّا بات
32,نَر کَٹَیّا پُوت بَھگْتَیّا بات
33,چار
34,چِیب
35,چِیپ دار
36,تِرَن کَر
37,تِرَن نِیب
38,اِجابَت کرنا
39,اِجابَت ہونا
40,اِجارَہ کَرنا
41,اِجارَہ لینا
42,بَد
43,بُد
44,بِد
45,بُد بَل
46,بُد پَن
47,بَدا
48,بَدّا
49,بِدا
50,بَدّا
51,بُدا
52,بَدا بَدی
53,باتَر
54,باتِر
55,تِرَن مانَس
56,بُد پَتی
57,بَدّا
58,بَھدْرا ہونا
59,بَھدَئی
60,باپ باپُت پُوت پِتا پَر گھوڑا بَہُت نَہیں تو تھوڑا تھوڑا
61,باپ باپَت پُوت پَراپَت گھوڑا گُچھ نَہیں تو تھوڑا تھوڑا
62,بُھو سیہْرا
63,بُھوِشْت
64,بات اُٹھانا
65,بات اُٹْھنا
66,بُھوک کے مارے آچار نِکَلْنا
67,بَد
68,بِد
69,بُد
70,بِد
71,بَد
72,بُد
73,بَھدرَک
74,بُھوشَک
75,بات اُلَٹْنا
76,بِھر
77,بھُر
78,بھَر
79,اِجتِماع کرنا
80,بات اَورپَر ڈھالْنا
81,بات آبَنْنا
82,بات آرَہْنا
83,بات آنا
84,بات آئی گَئی ہونا
85,بات بات
86,بات بات میں
87,بات بات میں موتی پِرونا
88,بات بالا رَکْھنا
89,بات بالا رَہْنا
90,بات باندھنا
91,بات بَٹْنا
92,بات بَدَلْنا
93,بات بَڑی ہونا
94,بات بَڑْھنا
95,بات بِگڑْنا
96,بات بِگَڑنا
97,بات بَنانا
98,بات بَن پَڑْنا
99,بات بَن نَہ آنا
100,بات بولْنا
101,بات بَہْلانا
102,آرْیَہ
103,بات بِیچ میں سے لینا
104,بات بھاری لَگْنا
105,بات بھی نَہ پُوچھنا
106,چِیپا کھانا
107,اِجارَہ دار
108,اِجارَہ لَگانا
109,بُد وَنْت
110,بِدا دینا
111,بَدا بَدی
112,بُھجَنگا
113,بَھدیس بَھدیسا بَھدیسَ بَھدیسلا
114,بات اَٹَکْنا
115,بات اُٹھا رَکْھنا
116,بات اُٹھا نَہ رَکْھنا
117,بُھوک کی جھانج نِکَل جانا
118,بُھوک کی جھانجھ
119,بُھوک کُھلْنا
120,بھُوک کھینچنا
121,بُھوک گَئے بھوجَن مِلے جاڑا جات گَئے قَبائی جوبَن گَئے تُریا مِلے تِینوں دیِوبَہائی/ بَہائے
122,بات اُڑانا
123,بات اُڑْنا
124,بَھر ہاتھ
125,بات اُلَٹْنا
126,بات اُوپَراُوپَر جانا
127,بِھر ہونا
128,اُجَڈ پَنا
129,اُجَڈ پَن
130,بات اُونچی ہونا
131,بات آنْ پَڑْنا
132,بات آپَڑْنا
133,بات آگے آنا
134,بات آنچل میں باندھنا
135,بُھر بُھرانا
136,بات بات پَر
137,بات بات پَہ
138,بات بات میں چُھری کَٹاری
139,بات باقی رَہْنا
140,شُدَہ کَرْنا
141,شُدَہ ہونا
142,بات بالا ہونا
143,بات بَتانا
144,بات بَدْلانا
145,بات بَڑِی رَہْنا
146,بات بَڑھانا
147,بات بِگاڑْنا
148,بات بَنا لینا
149,بات بَن آنا
150,بات بَنْنا
151,بات بول ہونا
152,بات بَہَکْنا
153,بات بے بات
154,بات بَیٹْھنا
155,بات بھار پڑنا
156,بات بھاری ہونا
157,بات پانا
158,بات پَتَّھر کی لَکِیر ہونا
159,آجڑا پَن پَنا
160,آنکھوں
161,آجالا ڈالنا
162,آجالی لینا
163,اَگَن گِیر
164,اَلَگ کَرنا
165,اَجّان
166,اجان پَنا
167,اَجْلاف پَن
168,اَگّیان پَن
169,بات پَر بات کَہْنا
170,بات پَر بات یاد آنا
171,بات پَر بُھلانا
172,بات پَر ٹَھہَرْنا
173,کَرنا
174,بات پَر جانا
175,بات پَر جان دینا
176,بات پَر جَمْنا
177,بات پَر چَلْنا
178,بات پَر خاک پَڑْنا
